           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2015-11-01T15:11:03Z CRAWL RUNNING - Running
2015-11-01T15:11:17Z           4           2            2           0.1(0)       0(0)             0             0       167679        229376            1           2           2
2015-11-01T15:11:37Z           4           2            2             0(0)       0(0)             0             0       174005        229376            1           2           2
2015-11-01T15:11:57Z          31          26            5       0.15(0.01)       1(0)             0             0       179283        229376         1.33          17           6
2015-11-01T15:12:17Z          31          26            5          0(0.01)       0(0)             0             0       179283        229376         1.33          17           6
2015-11-01T15:12:32Z CRAWL WAITING - Pausing - Waiting for threads to finish
2015-11-01T15:12:37Z          31          26            5          0(0.01)       0(0)             0             0       179283        229376         1.33          17           6
2015-11-01T15:13:08Z          31          26            5          0(0.01)       0(0)             0             0        64334        229376         1.33          17           6
2015-11-01T15:13:17Z          31          26            5          0(0.01)       0(0)             0             0        64334        229376         1.33          17           6
2015-11-01T15:13:37Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:13:57Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:14:17Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:14:37Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:14:57Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:15:17Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:15:37Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:15:57Z          31          26            5          0(0.01)       0(0)             0             0        86777        229376         1.33          17           6
2015-11-01T15:16:17Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:16:37Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:16:57Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:17:17Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:17:37Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:17:57Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:18:17Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:18:37Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:18:57Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:19:17Z          31          26            5          0(0.01)       0(0)             0             0        86899        229376         1.33          17           6
2015-11-01T15:19:37Z          31          26            5          0(0.01)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:19:57Z          31          26            5          0(0.01)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:20:17Z          31          26            5          0(0.01)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:20:37Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:20:57Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:21:17Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:21:37Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:21:57Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:22:17Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:22:37Z          31          26            5             0(0)       0(0)             0             0        87021        229376         1.33          17           6
2015-11-01T15:22:57Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:23:17Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:23:37Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:23:57Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:24:17Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:24:37Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:24:57Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:25:17Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:25:37Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T15:25:57Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T18:26:16Z          31          26            5             0(0)       0(0)             0             0        87143        229376         1.33          17           6
2015-11-01T18:26:36Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:21:05Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:21:06Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:21:18Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:21:38Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:21:58Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:22:18Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:22:38Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:22:58Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:23:18Z          31          26            5             0(0)       0(0)             0             0        87265        229376         1.33          17           6
2015-11-02T02:23:38Z          31          26            5             0(0)       0(0)             0             0        87388        229376         1.33          17           6
2015-11-02T02:23:58Z          31          26            5             0(0)       0(0)             0             0        87388        229376         1.33          17           6
2015-11-02T02:24:18Z          31          26            5             0(0)       0(0)             0             0        87388        229376         1.33          17           6
2015-11-02T02:24:38Z          31          26            5             0(0)       0(0)             0             0        87388        229376         1.33          17           6
2015-11-02T02:24:58Z          31          26            5             0(0)       0(0)             0             0        87388        229376         1.33          17           6
2015-11-02T02:25:18Z          31          26            5             0(0)       0(0)             0             0        87504        229376         1.33          17           6
2015-11-02T02:25:38Z          31          26            5             0(0)       0(0)             0             0        87504        229376         1.33          17           6
2015-11-02T02:25:58Z          31          26            5             0(0)       0(0)             0             0        87504        229376         1.33          17           6
2015-11-02T02:26:18Z          31          26            5             0(0)       0(0)             0             0        87504        229376         1.33          17           6
2015-11-02T02:26:38Z          31          26            5             0(0)       0(0)             0             0        87504        229376         1.33          17           6
2015-11-02T02:26:58Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:27:18Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:27:38Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:27:58Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:28:18Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
2015-11-02T02:28:38Z          31          26            5             0(0)       0(0)             0             0        87626        229376         1.33          17           6
